section,feature,metric,value
primary_auc,,pool,P2_attacker_labeled_undecided_PRIMARY
primary_auc,,n,899
primary_auc,,positives,0
primary_auc,,note,single-class pool: AUC undefined (recorded honestly)
primary_auc,frechet_width,auc,
primary_auc,frechet_width,p_value,
primary_auc,jacobian_rank_deficiency,auc,
primary_auc,jacobian_rank_deficiency,p_value,
primary_auc,max_cross_pattern_marginal_gap,auc,
primary_auc,max_cross_pattern_marginal_gap,p_value,
primary_auc,frac_observed,auc,
primary_auc,frac_observed,p_value,
primary_auc,overlap_density,auc,
primary_auc,overlap_density,p_value,
context_circular,,pool,P1_engine_decided_CONTEXT_CIRCULAR
context_circular,,n,1538
context_circular,,positives,673
context_circular,frechet_width,auc,0.5241683772943168
context_circular,frechet_width,p_value,0.0499001996007984
context_circular,frechet_width,B,500
context_circular,frechet_width,null_mean,0.500971197897431
context_circular,frechet_width,null_sd,0.013320174218220545
context_circular,jacobian_rank_deficiency,auc,0.859912908296043
context_circular,jacobian_rank_deficiency,p_value,0.001996007984031936
context_circular,jacobian_rank_deficiency,B,500
context_circular,jacobian_rank_deficiency,null_mean,0.5235697790069485
context_circular,jacobian_rank_deficiency,null_sd,0.012706368516138562
context_circular,max_cross_pattern_marginal_gap,auc,0.6861056953164589
context_circular,max_cross_pattern_marginal_gap,p_value,0.001996007984031936
context_circular,max_cross_pattern_marginal_gap,B,500
context_circular,max_cross_pattern_marginal_gap,null_mean,0.5747762722345808
context_circular,max_cross_pattern_marginal_gap,null_sd,0.01207904772823343
context_circular,frac_observed,auc,0.4820671825747881
context_circular,frac_observed,p_value,0.9580838323353293
context_circular,frac_observed,B,500
context_circular,frac_observed,null_mean,0.5052821204339125
context_circular,frac_observed,null_sd,0.013014561683275834
context_circular,overlap_density,auc,0.27345077257384326
context_circular,overlap_density,p_value,1.0
context_circular,overlap_density,B,500
context_circular,overlap_density,null_mean,0.4146773157890216
context_circular,overlap_density,null_sd,0.006578585183743979
context_circular,,logistic_combo_cv_auc_mean,0.9280932524276497
context_circular,,logistic_combo_cv_auc_sd,0.01901155787789986
downstream_corr,,spearman.rho,0.37097398685332783
downstream_corr,,spearman.p_two_sided,0.0001999600079984003
downstream_corr,,spearman.B,5000
downstream_corr,,spearman.method,spearman
downstream_corr,,spearman.n,793
downstream_corr,,pearson.rho,0.33643187304059347
downstream_corr,,pearson.p_two_sided,0.0001999600079984003
downstream_corr,,pearson.B,5000
downstream_corr,,pearson.method,pearson
downstream_corr,,pearson.n,793
downstream_corr,,frechet_vs_naive_err_spearman.rho,0.20566468121904383
downstream_corr,,frechet_vs_naive_err_spearman.p_two_sided,0.0001999600079984003
downstream_corr,,frechet_vs_naive_err_spearman.B,5000
downstream_corr,,frechet_vs_naive_err_spearman.method,spearman
downstream_corr,,frechet_vs_naive_err_spearman.n,793
